                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3147,                 2.1414,                  1.367,                0.40128,                0.34775,                0.35013,                0.17921,                 2.0163,                 1.3002,                 1.2787,              0.0033309,              0.0033309,              0.0033309
                      2,                 2.0279,                 1.2914,                 1.2166,                0.45649,                0.49134,                0.43661,                0.22486,                 1.8558,                 1.1795,                  1.213,              0.0065983,              0.0065983,              0.0065983
                      3,                 1.9792,                  1.228,                  1.191,                0.51856,                0.53067,                0.49452,                0.24694,                 1.8298,                 1.1465,                 1.2071,              0.0097996,              0.0097996,              0.0097996
                      4,                 1.9308,                 1.1863,                 1.1695,                0.54742,                 0.5688,                0.53969,                0.27021,                 1.7882,                 1.0883,                 1.1856,               0.009703,               0.009703,               0.009703
                      5,                 1.8719,                 1.1272,                 1.1469,                0.57211,                 0.5786,                0.56662,                0.29255,                 1.7439,                 1.0949,                 1.1721,               0.009703,               0.009703,               0.009703
                      6,                 1.8448,                 1.1005,                 1.1388,                0.58713,                 0.5945,                0.56725,                0.28853,                 1.7699,                 1.0629,                 1.1573,               0.009604,               0.009604,               0.009604
                      7,                 1.8192,                 1.0732,                 1.1297,                0.54955,                0.57962,                0.56147,                0.28803,                 1.7336,                 1.0445,                 1.1635,               0.009505,               0.009505,               0.009505
                      8,                 1.8057,                 1.0625,                 1.1209,                0.60417,                0.58555,                0.57736,                0.29425,                 1.7098,                 1.0296,                 1.1534,               0.009406,               0.009406,               0.009406
                      9,                 1.7849,                  1.047,                 1.1152,                0.62078,                0.62557,                0.59787,                0.31208,                 1.6733,                 1.0005,                 1.1438,               0.009307,               0.009307,               0.009307
                     10,                 1.7628,                 1.0217,                 1.1079,                0.62509,                0.60131,                0.59267,                 0.3064,                 1.6918,                0.98773,                 1.1425,               0.009208,               0.009208,               0.009208
                     11,                 1.7669,                 1.0254,                 1.1092,                0.63227,                0.61787,                0.61825,                0.32204,                 1.6636,                0.97284,                 1.1415,               0.009109,               0.009109,               0.009109
                     12,                 1.7535,                 1.0116,                 1.1056,                0.64055,                0.61019,                0.60934,                0.31753,                 1.6724,                0.96663,                 1.1398,                0.00901,                0.00901,                0.00901
                     13,                  1.745,                 1.0048,                 1.0986,                 0.6314,                0.61793,                0.62291,                 0.3253,                 1.6778,                 0.9836,                 1.1392,               0.008911,               0.008911,               0.008911
                     14,                 1.7347,                0.98996,                 1.0947,                0.64675,                0.62393,                0.62113,                0.32707,                 1.6525,                0.95549,                 1.1305,               0.008812,               0.008812,               0.008812
                     15,                 1.7256,                0.98573,                 1.0923,                0.63384,                0.61742,                0.61496,                0.32049,                 1.6605,                0.95838,                 1.1293,               0.008713,               0.008713,               0.008713
                     16,                 1.7196,                0.98604,                 1.0902,                0.64403,                0.61832,                0.61911,                0.32299,                  1.667,                0.95836,                 1.1268,               0.008614,               0.008614,               0.008614
                     17,                  1.719,                0.97807,                 1.0875,                0.64933,                 0.6375,                0.63187,                 0.3302,                 1.6502,                 0.9374,                 1.1251,               0.008515,               0.008515,               0.008515
                     18,                 1.7063,                 0.9708,                 1.0854,                0.65086,                0.63638,                0.63465,                0.32949,                 1.6433,                0.94072,                 1.1217,               0.008416,               0.008416,               0.008416
                     19,                 1.6991,                 0.9636,                  1.086,                0.65172,                0.62973,                0.63043,                0.33302,                 1.6254,                0.94113,                 1.1174,               0.008317,               0.008317,               0.008317
                     20,                 1.7003,                0.95985,                  1.085,                0.66038,                0.63212,                 0.6376,                0.33563,                 1.6218,                0.93554,                 1.1175,               0.008218,               0.008218,               0.008218
                     21,                 1.7001,                0.95817,                 1.0835,                0.66399,                 0.6358,                0.63868,                0.33603,                 1.6315,                0.93294,                 1.1201,               0.008119,               0.008119,               0.008119
                     22,                 1.6914,                0.95166,                 1.0807,                0.67592,                0.63099,                0.64278,                0.34148,                 1.6214,                0.92924,                 1.1171,                0.00802,                0.00802,                0.00802
                     23,                 1.6903,                0.95168,                  1.078,                 0.6667,                 0.6432,                0.64065,                0.33889,                 1.6179,                0.91009,                 1.1192,               0.007921,               0.007921,               0.007921
                     24,                 1.6871,                 0.9476,                 1.0795,                0.68273,                0.63663,                0.65294,                 0.3447,                  1.618,                0.90644,                 1.1135,               0.007822,               0.007822,               0.007822
                     25,                 1.6864,                0.94731,                 1.0739,                0.67725,                0.64077,                0.64783,                0.34267,                 1.6188,                0.91382,                 1.1102,               0.007723,               0.007723,               0.007723
                     26,                 1.6807,                0.94156,                 1.0751,                0.66606,                0.63665,                0.64458,                0.34221,                 1.6015,                0.90772,                 1.1088,               0.007624,               0.007624,               0.007624
                     27,                 1.6753,                0.94083,                 1.0735,                0.66823,                0.64416,                0.65138,                0.34403,                 1.6053,                0.91189,                 1.1108,               0.007525,               0.007525,               0.007525
                     28,                 1.6647,                 0.9332,                   1.07,                0.68156,                 0.6464,                 0.6612,                0.34904,                 1.6037,                0.90039,                 1.1083,               0.007426,               0.007426,               0.007426
                     29,                 1.6727,                0.93528,                 1.0759,                0.66938,                0.64723,                0.65329,                0.34876,                 1.5965,                0.89807,                 1.1035,               0.007327,               0.007327,               0.007327
                     30,                 1.6736,                0.93604,                 1.0719,                0.67077,                0.65067,                0.65539,                0.34696,                 1.5987,                 0.8986,                 1.1084,               0.007228,               0.007228,               0.007228
                     31,                 1.6716,                0.93001,                 1.0726,                0.68781,                0.64574,                  0.663,                0.35231,                 1.5888,                0.88555,                 1.1038,               0.007129,               0.007129,               0.007129
                     32,                 1.6616,                0.92771,                 1.0725,                0.68698,                0.64314,                0.66116,                0.34998,                 1.6027,                0.89104,                 1.1089,                0.00703,                0.00703,                0.00703
                     33,                 1.6638,                0.92483,                 1.0692,                0.68674,                0.64853,                 0.6631,                0.35323,                 1.5905,                0.88402,                 1.1035,               0.006931,               0.006931,               0.006931
                     34,                 1.6601,                0.92065,                 1.0714,                0.68735,                0.64858,                0.66224,                0.35349,                 1.5929,                0.88676,                 1.1039,               0.006832,               0.006832,               0.006832
                     35,                 1.6481,                0.91531,                 1.0683,                0.68319,                0.65414,                0.66502,                0.35396,                 1.5879,                0.87853,                 1.1074,               0.006733,               0.006733,               0.006733
                     36,                 1.6546,                0.91623,                 1.0696,                0.68862,                0.64959,                0.66393,                0.35271,                 1.5932,                0.87835,                 1.1054,               0.006634,               0.006634,               0.006634
                     37,                 1.6593,                0.91763,                 1.0691,                0.68747,                0.65443,                0.66774,                0.35453,                 1.5875,                0.87376,                 1.1019,               0.006535,               0.006535,               0.006535
                     38,                 1.6528,                0.91257,                 1.0663,                0.69315,                0.65176,                0.66609,                0.35391,                 1.5869,                0.87776,                 1.1008,               0.006436,               0.006436,               0.006436
                     39,                 1.6464,                0.90896,                  1.065,                0.69331,                0.64897,                0.66773,                0.35729,                 1.5893,                0.87056,                 1.1038,               0.006337,               0.006337,               0.006337
                     40,                 1.6529,                0.91081,                 1.0651,                0.68941,                0.64841,                0.66575,                0.35564,                 1.5875,                0.87805,                 1.1006,               0.006238,               0.006238,               0.006238
                     41,                 1.6386,                 0.9014,                  1.064,                 0.6912,                0.65207,                0.66936,                0.35688,                 1.5794,                0.87006,                  1.098,               0.006139,               0.006139,               0.006139
                     42,                 1.6453,                0.90543,                 1.0666,                0.69962,                0.64749,                0.67511,                0.35939,                 1.5818,                0.86836,                 1.1008,                0.00604,                0.00604,                0.00604
                     43,                 1.6354,                0.90028,                 1.0619,                0.69272,                0.65315,                 0.6725,                 0.3601,                 1.5749,                0.86504,                 1.0986,               0.005941,               0.005941,               0.005941
                     44,                 1.6388,                0.89939,                 1.0623,                0.69695,                0.65211,                0.67296,                 0.3594,                 1.5784,                0.86688,                 1.0975,               0.005842,               0.005842,               0.005842
                     45,                 1.6373,                0.89708,                 1.0635,                0.69667,                 0.6569,                0.67504,                0.36159,                 1.5752,                0.86328,                 1.0967,               0.005743,               0.005743,               0.005743
                     46,                 1.6328,                0.89428,                 1.0596,                0.69618,                0.65422,                0.67169,                0.35998,                 1.5785,                0.85715,                 1.0989,               0.005644,               0.005644,               0.005644
                     47,                 1.6357,                0.89516,                 1.0615,                0.69496,                0.65707,                0.67466,                 0.3608,                 1.5743,                0.85943,                 1.0945,               0.005545,               0.005545,               0.005545
                     48,                 1.6367,                 0.8959,                 1.0577,                0.69336,                0.66206,                0.67659,                0.36167,                 1.5787,                0.85619,                  1.098,               0.005446,               0.005446,               0.005446
                     49,                 1.6265,                0.88945,                 1.0572,                0.68944,                0.66432,                0.67694,                0.36116,                  1.578,                0.85534,                  1.097,               0.005347,               0.005347,               0.005347
                     50,                 1.6355,                0.89308,                 1.0598,                0.69989,                0.65535,                0.67631,                0.36166,                 1.5733,                0.85486,                  1.096,               0.005248,               0.005248,               0.005248
                     51,                 1.6291,                0.88405,                 1.0593,                0.69859,                0.65586,                0.67726,                0.36152,                 1.5722,                0.85432,                 1.0956,               0.005149,               0.005149,               0.005149
                     52,                  1.626,                0.88452,                 1.0546,                0.69717,                0.65696,                0.67622,                0.36269,                 1.5731,                0.85058,                 1.0961,                0.00505,                0.00505,                0.00505
                     53,                 1.6282,                0.88904,                 1.0529,                0.69911,                0.65518,                0.67732,                0.36365,                 1.5731,                0.85077,                 1.0948,               0.004951,               0.004951,               0.004951
                     54,                 1.6211,                0.88264,                  1.057,                0.69166,                0.65292,                0.67514,                 0.3633,                 1.5731,                0.85067,                  1.095,               0.004852,               0.004852,               0.004852
                     55,                 1.6143,                 0.8812,                 1.0541,                0.70151,                0.65919,                0.67942,                 0.3646,                 1.5695,                0.84754,                 1.0935,               0.004753,               0.004753,               0.004753
                     56,                 1.6203,                0.88136,                  1.055,                0.70476,                0.65965,                0.68109,                0.36512,                 1.5688,                0.84565,                 1.0934,               0.004654,               0.004654,               0.004654
                     57,                 1.6191,                0.87633,                  1.052,                0.69891,                0.65772,                0.68043,                0.36537,                 1.5705,                0.84469,                 1.0938,               0.004555,               0.004555,               0.004555
                     58,                 1.6188,                0.87687,                 1.0535,                0.70337,                0.65835,                0.68211,                0.36598,                 1.5686,                0.84061,                 1.0947,               0.004456,               0.004456,               0.004456
                     59,                  1.615,                0.87378,                 1.0529,                0.70406,                0.66045,                0.68352,                0.36738,                 1.5667,                0.84012,                 1.0939,               0.004357,               0.004357,               0.004357
                     60,                 1.6131,                0.87457,                 1.0534,                0.70192,                 0.6621,                 0.6827,                0.36695,                 1.5653,                0.84084,                 1.0925,               0.004258,               0.004258,               0.004258
                     61,                 1.6076,                0.86879,                 1.0503,                 0.6981,                0.66401,                0.68453,                0.36729,                 1.5657,                0.84121,                 1.0917,               0.004159,               0.004159,               0.004159
                     62,                 1.6202,                0.87518,                 1.0537,                0.70127,                0.66197,                0.68236,                0.36731,                 1.5665,                0.83976,                 1.0913,                0.00406,                0.00406,                0.00406
                     63,                 1.6058,                0.86725,                 1.0536,                0.70246,                0.65947,                0.68199,                0.36711,                 1.5653,                0.83926,                 1.0912,               0.003961,               0.003961,               0.003961
                     64,                 1.6111,                0.86839,                 1.0524,                0.70105,                0.66186,                0.68197,                0.36761,                 1.5647,                0.83781,                 1.0922,               0.003862,               0.003862,               0.003862
                     65,                 1.6131,                 0.8702,                 1.0527,                 0.6976,                0.66412,                0.68216,                 0.3676,                 1.5645,                0.83676,                 1.0921,               0.003763,               0.003763,               0.003763
                     66,                 1.6007,                0.86491,                 1.0496,                0.70182,                0.66466,                0.68412,                0.36814,                 1.5659,                0.83597,                 1.0926,               0.003664,               0.003664,               0.003664
                     67,                 1.6065,                0.86645,                 1.0506,                0.70016,                0.66389,                0.68364,                0.36838,                 1.5642,                0.83442,                 1.0924,               0.003565,               0.003565,               0.003565
                     68,                 1.6028,                 0.8643,                 1.0488,                0.70417,                 0.6658,                0.68651,                0.36919,                 1.5629,                0.83283,                 1.0925,               0.003466,               0.003466,               0.003466
                     69,                 1.6041,                0.86281,                 1.0488,                0.70502,                0.66394,                0.68677,                0.36962,                 1.5634,                0.83242,                 1.0929,               0.003367,               0.003367,               0.003367
                     70,                 1.5991,                0.85915,                 1.0515,                0.70444,                0.66659,                0.68699,                0.36951,                 1.5638,                 0.8311,                 1.0933,               0.003268,               0.003268,               0.003268
                     71,                 1.5994,                0.85968,                 1.0503,                0.70517,                0.66689,                0.68683,                0.36981,                  1.564,                0.83018,                 1.0934,               0.003169,               0.003169,               0.003169
                     72,                 1.5975,                0.85572,                 1.0475,                0.70784,                0.66225,                0.68642,                0.36995,                  1.563,                0.82953,                 1.0925,                0.00307,                0.00307,                0.00307
                     73,                 1.5909,                0.85186,                 1.0466,                  0.705,                0.66565,                0.68636,                0.37019,                 1.5619,                 0.8286,                 1.0917,               0.002971,               0.002971,               0.002971
                     74,                 1.5942,                0.85237,                 1.0472,                 0.7025,                0.66469,                0.68588,                0.37016,                 1.5615,                0.82766,                 1.0909,               0.002872,               0.002872,               0.002872
                     75,                 1.5889,                  0.851,                 1.0441,                0.70306,                0.66601,                0.68699,                0.37067,                 1.5608,                0.82668,                 1.0907,               0.002773,               0.002773,               0.002773
                     76,                 1.5885,                 0.8501,                 1.0445,                0.70599,                0.66484,                0.68745,                0.37075,                   1.56,                0.82565,                 1.0904,               0.002674,               0.002674,               0.002674
                     77,                 1.5865,                0.84736,                 1.0449,                0.70616,                0.66506,                0.68709,                0.37081,                 1.5592,                0.82493,                   1.09,               0.002575,               0.002575,               0.002575
                     78,                 1.5812,                0.84396,                 1.0449,                0.70581,                0.66537,                0.68738,                 0.3711,                 1.5589,                0.82434,                 1.0902,               0.002476,               0.002476,               0.002476
                     79,                 1.5782,                0.84404,                 1.0435,                 0.7061,                0.66527,                 0.6877,                0.37144,                 1.5594,                0.82362,                 1.0902,               0.002377,               0.002377,               0.002377
                     80,                 1.5778,                0.84684,                 1.0404,                0.70155,                0.66805,                0.68777,                0.37128,                 1.5588,                0.82294,                   1.09,               0.002278,               0.002278,               0.002278
